column,datatype,null_values,col_duplicates,unique_values,mean,median,mode,percentile_25,percentile_50,percentile_75,sensitive_data
age,int64,0,11086,76,41.2319,39.0,31,32.0,39.0,49.0,True
job,str,0,11150,12,,,management,,,,True
marital,str,0,11159,3,,,married,,,,True
education,str,0,11158,4,,,secondary,,,,True
default,str,0,11160,2,,,no,,,,False
balance,int64,0,7357,3805,1528.5385,550.0,0,122.0,550.0,1708.0,True
housing,str,0,11160,2,,,no,,,,False
loan,str,0,11160,2,,,no,,,,False
contact,str,0,11159,3,,,cellular,,,,False
day,int64,0,11131,31,15.658,15.0,20,8.0,15.0,22.0,False
month,str,0,11150,12,,,may,,,,False
duration,int64,0,9734,1428,371.9938,255.0,97,138.0,255.0,496.0,False
campaign,int64,0,11126,36,2.5084,2.0,1,1.0,2.0,3.0,False
pdays,int64,0,10690,472,51.3304,-1.0,-1,-1.0,-1.0,20.75,False
previous,int64,0,11128,34,0.8326,0.0,0,0.0,0.0,1.0,False
poutcome,str,0,11158,4,,,unknown,,,,False
deposit,str,0,11160,2,,,no,,,,False
